Source,/home/pozsarzs/Git/mm8d-hw/cad_files/mm8d.sch
Kicad Rev,Eeschema 4.0.5+dfsg1-4
Generated Date,2021. márc. 25., csütörtök, 08:17:47 CET

Title,MM8D Central controlling and remote monitoring device
Company,Pozsar Zsolt - http://www.szerafingomba.hu
Revision,2100325
Date Issue,2021-03-25
Comment,Interface card
Comment,Draw no.: 59/13/2

Reference,Value,Library,Library Ref
J1,Screw_Terminal_1x05,conn,Screw_Terminal_1x05
R1,9.1k,device,R
D1,1N4001,device,D
U1,4N25,opto,4N25
U2,4N25,opto,4N25
U3,4N25,opto,4N25
U4,4N25,opto,4N25
R5,4.7k,device,R
R6,4.7k,device,R
R7,4.7k,device,R
R8,4.7k,device,R
J3,Screw_Terminal_1x04,conn,Screw_Terminal_1x04
J2,Screw_Terminal_1x04,conn,Screw_Terminal_1x04
J10,Screw_Terminal_1x05,conn,Screw_Terminal_1x05
J7,Screw_Terminal_1x03,conn,Screw_Terminal_1x03
J9,Screw_Terminal_1x03,conn,Screw_Terminal_1x03
J8,Screw_Terminal_1x03,conn,Screw_Terminal_1x03
J4,Screw_Terminal_1x04,conn,Screw_Terminal_1x04
J5,Screw_Terminal_1x04,conn,Screw_Terminal_1x04
R17,1.5k,device,R
Q7,BC548C,device,Q_NPN_CBE
Q5,BC548C,device,Q_NPN_CBE
Q3,BC548C,device,Q_NPN_CBE
Q1,BC548C,device,Q_NPN_CBE
D19,1N4001,device,D
J6,Screw_Terminal_1x03,conn,Screw_Terminal_1x03
K1,LEG-5,relay_leg-5,Relay_LEG-5
K2,LEG-5,relay_leg-5,Relay_LEG-5
K3,LEG-5,relay_leg-5,Relay_LEG-5
K4,LEG-5,relay_leg-5,Relay_LEG-5
D5,LED,device,LED
D6,LED,device,LED
D7,LED,device,LED
D8,LED,device,LED
U5,74LS14,74xx,74LS14
U6,74LS05,74xx,74LS05
D11,LED,device,LED
D12,LED,device,LED
D13,LED,device,LED
D14,LED,device,LED
JP1,Jumper_NC_Small,device,Jumper_NC_Small
JP2,Jumper_NO_Small,device,Jumper_NO_Small
C2,100n,device,C
C1,100n,device,C
C3,470u,device,CP
D10,LED,device,LED
R21,3,6k,device,R
C4,4.7u,device,CP
D9,1N4001,device,D
R2,9.1k,device,R
R3,9.1k,device,R
R4,9.1k,device,R
D2,1N4001,device,D
D4,1N4001,device,D
D3,1N4001,device,D
D20,1N4001,device,D
D21,1N4001,device,D
D22,1N4001,device,D
Q2,BC548C,device,Q_NPN_CBE
Q4,BC548C,device,Q_NPN_CBE
Q6,BC548C,device,Q_NPN_CBE
Q8,BC548C,device,Q_NPN_CBE
D15,LED,device,LED
D16,LED,device,LED
D17,LED,device,LED
D18,LED,device,LED
R9,4.7k,device,R
R11,4.7k,device,R
R13,4.7k,device,R
R15,4.7k,device,R
R18,1.5k,device,R
R19,1.5k,device,R
R20,1.5k,device,R
R22,1.5k,device,R
R23,1.5k,device,R
R24,1.5k,device,R
R25,1.5k,device,R
R10,1k,device,R
R12,1k,device,R
R14,1k,device,R
R16,1k,device,R
